ts_utc,side,qty_btc,price,bid_px,ask_px,mid,pos_btc_after,avg_entry,realized_pnl,unrealized_pnl,total_pnl
2025-08-22T15:13:18.750324+00:00,BUY,0.00864311,116662.34,116662.34,116662.35,116662.35,1.07910224,116662.62,0.22,-0.30,-0.08
2025-08-22T15:13:18.750826+00:00,SELL,-0.00035689,116662.35,116662.34,116662.35,116662.35,1.07874535,116662.62,0.22,-0.30,-0.08
2025-08-22T15:13:19.286473+00:00,BUY,0.00026126,116662.32,116662.32,116662.33,116662.33,1.07900661,116662.62,0.22,-0.32,-0.11
2025-08-22T15:13:19.499619+00:00,BUY,0.10000000,116662.32,116662.32,116662.33,116662.33,1.17900661,116662.60,0.22,-0.32,-0.10
2025-08-22T15:13:19.605503+00:00,BUY,0.04087683,116662.32,116662.32,116662.33,116662.33,1.21988344,116662.59,0.22,-0.32,-0.10
2025-08-22T15:13:20.145008+00:00,SELL,-0.00128131,116662.85,116662.84,116662.85,116662.85,1.21860213,116662.59,0.22,0.31,0.53
2025-08-22T15:13:20.254290+00:00,SELL,-0.08639143,116662.33,116662.32,116662.33,116662.33,1.13221070,116662.59,0.24,-0.30,-0.06
2025-08-22T15:13:20.364152+00:00,BUY,0.10000000,116662.32,116662.32,116662.33,116662.33,1.23221070,116662.57,0.24,-0.30,-0.06
2025-08-22T15:13:20.472996+00:00,BUY,0.10000000,116662.32,116662.32,116662.33,116662.33,1.33221070,116662.55,0.24,-0.30,-0.06
2025-08-22T15:13:20.473347+00:00,SELL,-0.00020824,116662.33,116662.32,116662.33,116662.33,1.33200246,116662.55,0.24,-0.30,-0.06
2025-08-22T15:13:20.579180+00:00,BUY,0.05450368,116662.32,116662.32,116662.33,116662.33,1.38650614,116662.54,0.24,-0.30,-0.06
2025-08-22T15:13:21.758752+00:00,SELL,-0.00019331,116662.34,116662.33,116662.34,116662.33,1.38631283,116662.54,0.24,-0.28,-0.04
2025-08-22T15:13:22.075484+00:00,BUY,0.10000000,116664.89,116664.89,116664.90,116664.89,1.48631283,116662.70,0.24,3.27,3.51
2025-08-22T15:13:22.397396+00:00,SELL,-0.04300000,116664.88,116662.35,116664.88,116663.62,1.44331283,116662.70,0.15,1.32,1.47
2025-08-22T15:13:23.467209+00:00,BUY,0.00072317,116662.35,116662.35,116662.36,116662.36,1.44403600,116662.70,0.15,-0.49,-0.35
2025-08-22T15:13:23.680531+00:00,SELL,-0.00005694,116662.36,116662.35,116662.36,116662.36,1.44397906,116662.70,0.15,-0.49,-0.35
2025-08-22T15:13:23.787893+00:00,BUY,0.02670404,116664.94,116664.94,116664.95,116664.95,1.47068310,116662.74,0.15,3.25,3.39
2025-08-22T15:13:23.897015+00:00,BUY,0.01635176,116667.75,116667.75,116667.76,116667.76,1.48703486,116662.79,0.15,7.38,7.52
2025-08-22T15:13:23.897377+00:00,SELL,-0.02293626,116667.76,116667.75,116667.76,116667.76,1.46409860,116662.79,0.03,7.27,7.30
2025-08-22T15:13:24.004816+00:00,BUY,0.00259495,116668.29,116668.29,116668.30,116668.29,1.46669355,116662.80,0.03,8.06,8.09
2025-08-22T15:13:24.005436+00:00,SELL,-0.01704517,116668.30,116668.29,116668.30,116668.29,1.44964838,116662.80,-0.06,7.96,7.90
